FSWtarget	Poptarget	year	ptest	LENinit
4500	41500	2027	 0.27947	41705
4500	41500	2028	 0.27947	40857.4
4500	83000	2027	 0.558939	82891.2
4500	83000	2028	 0.571131	82978.5
4500	124500	2027	 0.838409	123569
4500	124500	2028	 0.861792	124438
4500	166000	2027	 1.12688	165036
4500	166000	2028	 1.15606	165898
4500	207500	2027	 1.41935	206547
4500	207500	2028	 1.45393	207351
4500	249000	2027	 1.72064	248765
4500	249000	2028	 1.75064	248135
4500	290500	2027	 2.0195	290108
4500	290500	2028	 2.06089	290254
4500	332000	2027	 2.32179	331395
4500	332000	2028	 2.36988	331676
4500	373500	2027	 2.62751	372618
4500	373500	2028	 2.68266	373085
4500	415000	2027	 2.93864	414036
4500	415000	2028	 2.99942	414496
9000	41500	2027	 0.136205	42201.2
9000	41500	2028	 0.132143	41507.8
9000	83000	2027	 0.27241	83871.1
9000	83000	2028	 0.265943	83024.6
9000	124500	2027	 0.408615	125021
9000	124500	2028	 0.404415	125460
9000	166000	2027	 0.54482	165662
9000	166000	2028	 0.54162	166985
9000	207500	2027	 0.684025	206682
9000	207500	2028	 0.680425	208478
9000	249000	2027	 0.82623	248061
9000	249000	2028	 0.82103	249989
9000	290500	2027	 0.973085	290247
9000	290500	2028	 0.963285	291468
9000	332000	2027	 1.11882	331574
9000	332000	2028	 1.10742	332971
9000	373500	2027	 1.26622	372842
9000	373500	2028	 1.25342	374487
9000	415000	2027	 1.41529	414044
9000	415000	2028	 1.40109	415951
13500	41500	2027	 0.085695	41507.7
13500	41500	2028	 0.0813329	41513.6
13500	83000	2027	 0.172489	83024.1
13500	83000	2028	 0.163722	83054.1
13500	124500	2027	 0.262357	125466
13500	124500	2028	 0.247221	124639
13500	166000	2027	 0.351409	166990
13500	166000	2028	 0.331789	166238
13500	207500	2027	 0.441261	208358
13500	207500	2028	 0.417456	207859
13500	249000	2027	 0.529513	248486
13500	249000	2028	 0.504147	249455
13500	290500	2027	 0.621765	289909
13500	290500	2028	 0.592067	291116
13500	332000	2027	 0.715017	331249
13500	332000	2028	 0.68114	332797
13500	373500	2027	 0.810609	373084
13500	373500	2028	 0.771253	374436
13500	415000	2027	 0.906102	414338
13500	415000	2028	 0.862297	415977
18000	41500	2027	 0.0615175	41511.4
18000	41500	2028	 0.0558473	41525.7
18000	83000	2027	 0.123835	83038.4
18000	83000	2028	 0.112453	83102.3
18000	124500	2027	 0.186951	124571
18000	124500	2028	 0.16983	124729
18000	166000	2027	 0.250862	166099
18000	166000	2028	 0.22799	166405
18000	207500	2027	 0.316895	208458
18000	207500	2028	 0.286985	208156
18000	249000	2027	 0.382314	249888
18000	249000	2028	 0.346754	249929
18000	290500	2027	 0.448733	291418
18000	290500	2028	 0.406949	291476
18000	332000	2027	 0.513752	331562
18000	332000	2028	 0.467672	332867
18000	373500	2027	 0.580971	372547
18000	373500	2028	 0.529489	374477
18000	415000	2027	 0.65019	414211
18000	415000	2028	 0.591824	415912
22500	41500	2027	 0.0469497	41515.4
22500	41500	2028	 0.0404755	41540.5
22500	83000	2027	 0.0945189	83054.2
22500	83000	2028	 0.0815298	83161.1
22500	124500	2027	 0.142706	124606
22500	124500	2028	 0.123173	124861
22500	166000	2027	 0.19151	166160
22500	166000	2028	 0.165413	166637
22500	207500	2027	 0.240929	207707
22500	207500	2028	 0.208262	208489
22500	249000	2027	 0.290961	249237
22500	249000	2028	 0.251126	249838
22500	290500	2027	 0.342347	291345
22500	290500	2028	 0.294848	291492
22500	332000	2027	 0.393682	332871
22500	332000	2028	 0.338781	332826
22500	373500	2027	 0.445617	374346
22500	373500	2028	 0.383558	374429
22500	415000	2027	 0.4984	415956
22500	415000	2028	 0.428803	415939
27000	41500	2027	 0.0371362	41519.8
27000	41500	2028	 0.0301159	41559
27000	83000	2027	 0.0747703	83071.6
27000	83000	2028	 0.0606896	83234.8
27000	124500	2027	 0.112901	124645
27000	124500	2028	 0.0917289	125025
27000	166000	2027	 0.151527	166228
27000	166000	2028	 0.123241	166928
27000	207500	2027	 0.190648	207812
27000	207500	2028	 0.154834	208419
27000	249000	2027	 0.230261	249385
27000	249000	2028	 0.186715	249771
27000	290500	2027	 0.270366	290940
27000	290500	2028	 0.219091	291246
27000	332000	2027	 0.310961	332466
27000	332000	2028	 0.251969	332841
27000	373500	2027	 0.352045	373955
27000	373500	2028	 0.285157	374301
27000	415000	2027	 0.394155	415930
27000	415000	2028	 0.318892	415918
36000	41500	2027	 0.0245919	41530.5
