FSWtarget	Poptarget	year	ptest	LENinit
0	41500	2027	 4.77263	41269.5
0	41500	2028	 2.31468	41769.9
0	83000	2027	 9.54526	82030.9
0	83000	2028	 4.6259	82969.8
0	124500	2027	 14.5947	124615
0	124500	2028	 7.00145	124799
0	166000	2027	 19.5533	165903
0	166000	2028	 9.37636	166103
0	207500	2027	 24.5896	207310
0	207500	2028	 11.7978	207699
0	249000	2027	 29.6848	248674
0	249000	2028	 14.2523	249340
0	290500	2027	 34.8388	289985
0	290500	2028	 16.7409	291034
0	332000	2027	 40.0513	331237
0	332000	2028	 19.2646	332788
0	373500	2027	 45.5224	373975
0	373500	2028	 21.8031	374263
0	415000	2027	 50.8517	415066
0	415000	2028	 24.3815	415860
