FSWtarget	Poptarget	year	ptest	LENinit
0	9360	2027	 5.64368	9248.89
0	9360	2028	 2.69762	9494.52
0	18720	2027	 11.2874	18261.3
0	18720	2028	 5.54026	19232.8
0	28080	2027	 17.577	28039.9
0	28080	2028	 8.20521	28125.5
0	37440	2027	 23.7284	37346.3
0	37440	2028	 11.102	37544.5
0	46800	2027	 30.0238	46620.2
0	46800	2028	 14.0881	46997.4
0	56160	2027	 36.462	55855.4
0	56160	2028	 17.1685	56489.7
0	65520	2027	 43.0417	65046.3
0	65520	2028	 20.3483	66025.5
0	74880	2027	 49.7618	74187.7
0	74880	2028	 23.6321	75607.9
0	84240	2027	 56.6208	83275.5
0	84240	2028	 27.0246	85239.1
0	93600	2027	 64.6178	93577
0	93600	2028	 30.3444	94412.9
