target	year	ptest	LENinit
9360	2027	0.328318	9377.07
9360	2028	0.328318	9450.43
18720	2027	0.656636	18689
18720	2028	0.656636	18835.3
28080	2027	0.984954	27936.8
28080	2028	0.984954	28155.7
37440	2027	1.31327	37121.5
37440	2028	1.31327	37412.5
46800	2027	1.64159	46244
46800	2028	1.64159	46606.6
56160	2027	1.96991	55305.2
56160	2028	1.96991	55739.2
65520	2027	2.30823	64579.2
65520	2028	2.30823	65086.3
74880	2027	2.65654	74061.4
74880	2028	2.65654	74643.4
84240	2027	3.00486	83477.7
84240	2028	3.00486	84134.1
93600	2027	3.35318	92829.1
93600	2028	3.35318	93559.6
9360	2027	0.159017	9430.2
9360	2028	0.159017	9834.31
18720	2027	0.318033	18794.5
18720	2028	0.318033	19597.7
28080	2027	0.49	28848.5
28080	2028	0.47	28862.9
37440	2027	0.636067	37329.7
37440	2028	0.626067	38312.7
46800	2027	0.795083	46502.4
46800	2028	0.775083	47274.8
56160	2027	0.9541	55613.2
56160	2028	0.9341	56773.7
65520	2027	1.11312	64663
65520	2028	1.09312	66206.9
74880	2027	1.28213	74215.9
74880	2028	1.25213	75575.4
84240	2027	1.45115	83702
84240	2028	1.41115	84880.2
93600	2027	1.62017	93122.3
93600	2028	1.57017	94122.3
9360	2027	0.10235	9487.59
9360	2028	0.10235	10284.1
18720	2027	0.204699	18908.5
18720	2028	0.194699	19496.8
28080	2027	0.307049	28263.8
28080	2028	0.287049	28647.3
37440	2027	0.409399	37554.5
37440	2028	0.379399	37736.6
46800	2027	0.51	46624.4
46800	2028	0.48	47569.3
56160	2027	0.614098	55945.9
56160	2028	0.574098	56702.6
65520	2027	0.716448	65048.5
65520	2028	0.666448	65607.1
74880	2027	0.818798	74090.3
74880	2028	0.768798	75408.5
84240	2027	0.931147	83946.5
84240	2028	0.871147	85140.2
93600	2027	1.0335	92863.6
93600	2028	0.963497	93862.1
9360	2027	0.0739499	9549.84
9360	2028	0.0639552	9365.05
18720	2027	0.1479	19032.1
18720	2028	0.12842	18739.6
28080	2027	0.22185	28448
28080	2028	0.193391	28122.5
37440	2027	0.295799	37798.3
37440	2028	0.258866	37513.1
46800	2027	0.369749	47084.3
46800	2028	0.324841	46910.3
56160	2027	0.443699	56306.7
56160	2028	0.391315	56313.4
65520	2027	0.51	64522
65520	2028	0.458103	65696.1
74880	2027	0.591599	74564.9
74880	2028	0.525745	75133.5
84240	2027	0.665549	83602.6
84240	2028	0.593697	84549
93600	2027	0.749499	93789.9
93600	2028	0.66247	94013
9360	2027	0.0568354	9617.88
9360	2028	0.0463447	9367.32
18720	2027	0.113671	19167.3
18720	2028	0.0930808	18748.5
28080	2027	0.170506	28649.2
28080	2028	0.140206	28142.5
37440	2027	0.227342	38064.8
37440	2028	0.187718	37548.2
46800	2027	0.284177	47415
46800	2028	0.235614	46964.6
56160	2027	0.341012	56700.9
56160	2028	0.283892	56390.7
65520	2027	0.397848	65923.4
65520	2028	0.33255	65825.5
74880	2027	0.45	74331.1
74880	2028	0.38146	75243.9
84240	2027	0.51	83939.8
84240	2028	0.430952	84708.8
93600	2027	0.568354	93220.1
93600	2028	0.480783	94173
9360	2027	0.0453039	9693.28
9360	2028	0.0344766	9370.15
18720	2027	0.0906079	19317
18720	2028	0.0692651	18759.7
28080	2027	0.135912	28872.2
28080	2028	0.104363	28167.5
37440	2027	0.181216	38360.1
37440	2028	0.139769	37592.1
46800	2027	0.22652	47781.6
46800	2028	0.175481	47032.4
56160	2027	0.271824	57137.8
56160	2028	0.211497	56487.3
65520	2027	0.317127	66429.6
65520	2028	0.247815	65955.6
74880	2027	0.362431	75658.1
74880	2028	0.284434	75436.1
84240	2027	0.407735	84824.1
84240	2028	0.32135	84928
93600	2027	0.453039	93928.7
93600	2028	0.358564	94430.1
9360	2027	0.0305569	9875.14
9360	2028	0.0194282	9378.53
18720	2027	0.0611137	19678.1
18720	2028	0.0390664	18792.8
