target	year	ptest	LENinit
FSW target: 36000 | MSM target: 9360 | year: 2027 | parm: 0.0305569 | LENinit: 9875.14
FSW target: 36000 | MSM target: 9360 | year: 2028 | parm: 0.0194282 | LENinit: 9378.53
FSW target: 36000 | MSM target: 18720 | year: 2027 | parm: 0.0611137 | LENinit: 19678.1
FSW target: 36000 | MSM target: 18720 | year: 2028 | parm: 0.0390664 | LENinit: 18792.8
FSW target: 36000 | MSM target: 28080 | year: 2027 | parm: 0.0896706 | LENinit: 28775.2
FSW target: 36000 | MSM target: 28080 | year: 2028 | parm: 0.0588925 | LENinit: 28231.4
FSW target: 36000 | MSM target: 37440 | year: 2027 | parm: 0.119227 | LENinit: 38126.5
FSW target: 36000 | MSM target: 37440 | year: 2028 | parm: 0.0789257 | LENinit: 37702.3
FSW target: 36000 | MSM target: 46800 | year: 2027 | parm: 0.149784 | LENinit: 47726.4
FSW target: 36000 | MSM target: 46800 | year: 2028 | parm: 0.0991745 | LENinit: 47208.6
FSW target: 36000 | MSM target: 56160 | year: 2027 | parm: 0.179341 | LENinit: 56947.7
FSW target: 36000 | MSM target: 56160 | year: 2028 | parm: 0.119607 | LENinit: 56734.3
FSW target: 36000 | MSM target: 65520 | year: 2027 | parm: 0.209898 | LENinit: 66415.2
FSW target: 36000 | MSM target: 65520 | year: 2028 | parm: 0.140259 | LENinit: 66295.2
FSW target: 36000 | MSM target: 74880 | year: 2027 | parm: 0.240455 | LENinit: 75816.9
FSW target: 36000 | MSM target: 74880 | year: 2028 | parm: 0.160112 | LENinit: 75423.5
FSW target: 36000 | MSM target: 84240 | year: 2027 | parm: 0.271012 | LENinit: 85153.9
FSW target: 36000 | MSM target: 84240 | year: 2028 | parm: 0.181165 | LENinit: 85037.4
FSW target: 36000 | MSM target: 93600 | year: 2027 | parm: 0.301569 | LENinit: 94427.1
FSW target: 36000 | MSM target: 93600 | year: 2028 | parm: 0.201416 | LENinit: 94222
FSW target: 45000 | MSM target: 9360 | year: 2027 | parm: 0.0214383 | LENinit: 10118.2
FSW target: 45000 | MSM target: 9360 | year: 2028 | parm: 0.010375 | LENinit: 9394.53
FSW target: 45000 | MSM target: 18720 | year: 2027 | parm: 0.0418767 | LENinit: 19693.8
FSW target: 45000 | MSM target: 18720 | year: 2028 | parm: 0.0208902 | LENinit: 18849.9
FSW target: 45000 | MSM target: 28080 | year: 2027 | parm: 0.061315 | LENinit: 28738.1
FSW target: 45000 | MSM target: 28080 | year: 2028 | parm: 0.031534 | LENinit: 28354.2
FSW target: 45000 | MSM target: 37440 | year: 2027 | parm: 0.0817533 | LENinit: 38182.4
FSW target: 45000 | MSM target: 37440 | year: 2028 | parm: 0.0423222 | LENinit: 37920
FSW target: 45000 | MSM target: 46800 | year: 2027 | parm: 0.102192 | LENinit: 47561.1
FSW target: 45000 | MSM target: 46800 | year: 2028 | parm: 0.0532467 | LENinit: 47538.6
FSW target: 45000 | MSM target: 56160 | year: 2027 | parm: 0.12263 | LENinit: 56875
FSW target: 45000 | MSM target: 56160 | year: 2028 | parm: 0.0633063 | LENinit: 56335.9
FSW target: 45000 | MSM target: 65520 | year: 2027 | parm: 0.143068 | LENinit: 66125.1
FSW target: 45000 | MSM target: 65520 | year: 2028 | parm: 0.0744998 | LENinit: 66058.7
FSW target: 45000 | MSM target: 74880 | year: 2027 | parm: 0.164507 | LENinit: 75760.3
FSW target: 45000 | MSM target: 74880 | year: 2028 | parm: 0.0858524 | LENinit: 75849.5
FSW target: 45000 | MSM target: 84240 | year: 2027 | parm: 0.184945 | LENinit: 84882.8
FSW target: 45000 | MSM target: 84240 | year: 2028 | parm: 0.0963135 | LENinit: 84809.8
FSW target: 45000 | MSM target: 93600 | year: 2027 | parm: 0.206383 | LENinit: 94386.2
FSW target: 45000 | MSM target: 93600 | year: 2028 | parm: 0.106938 | LENinit: 93850.3
