FSWtarget	Poptarget	year	ptest	LENinit
4500	3000	2027	 1.22192	2915.79
4500	3000	2028	 1.22192	2786.49
4500	6000	2027	 2.44383	5562.42
4500	6000	2028	 2.44383	5329.56
4500	9000	2027	 4.14063	8842.97
4500	9000	2028	 4.14063	8501.48
4500	12000	2027	 5.77462	11623.1
4500	12000	2028	 5.77462	11208.1
4500	15000	2027	 7.54159	14269.2
4500	15000	2028	 8.19649	14684.1
4500	18000	2027	 10.1432	17592.7
4500	18000	2028	 10.1432	17084.9
4500	21000	2027	 12.6412	20256.5
4500	21000	2028	 13.4486	20508.3
4500	24000	2027	 16.2959	23425.7
4500	24000	2028	 17.0593	23504.7
9000	3000	2027	 0.5	2495.33
9000	3000	2028	 0.5	2463.58
9000	6000	2027	 1.20224	5670.6
9000	6000	2028	 1.20224	5605.74
9000	9000	2027	 1.80337	8115.24
9000	9000	2028	 1.80337	8030.85
9000	12000	2027	 2.79167	11658.3
9000	12000	2028	 2.79167	11555.5
9000	15000	2027	 3.64892	14318.3
9000	15000	2028	 3.64892	14210
9000	18000	2027	 4.89327	17612.7
9000	18000	2028	 4.89327	17508.3
9000	21000	2027	 6.10167	20284.3
9000	21000	2028	 6.10167	20192.3
9000	24000	2027	 7.85814	23441.8
9000	24000	2028	 7.85814	23375.8
13500	3000	2027	 0.5	3812.49
13500	3000	2028	 0.5	3905.48
13500	6000	2027	 0.786886	5788.87
13500	6000	2028	 0.786886	5927.07
13500	9000	2027	 1.18033	8276.09
13500	9000	2028	 1.18033	8468.05
13500	12000	2027	 1.7934	11696.9
13500	12000	2028	 1.7934	11956.6
13500	15000	2027	 2.34624	14372.2
13500	15000	2028	 2.34624	14679.3
13500	18000	2027	 3.13623	17634.7
13500	18000	2028	 3.13623	17992.3
13500	21000	2027	 3.9131	20314.8
13500	21000	2028	 3.9131	20707.1
13500	24000	2027	 5.03421	23459.4
13500	24000	2028	 5.03421	23883.7
18000	3000	2027	 0.289451	3112.63
18000	3000	2028	 0.289451	3326.96
18000	6000	2027	 0.5	5182.23
18000	6000	2028	 0.5	5527.11
18000	9000	2027	 0.868352	8452.39
18000	9000	2028	 0.868352	8982.65
18000	12000	2027	 1.29322	11739.6
18000	12000	2028	 1.29322	12428.5
18000	15000	2027	 1.69356	14431.7
18000	15000	2028	 1.69356	15228
18000	18000	2027	 2.25581	17659
18000	18000	2028	 2.25581	18555.2
18000	21000	2027	 2.81647	20348.5
18000	21000	2028	 2.81647	21301.7
18000	24000	2027	 3.61917	23478.9
18000	24000	2028	 3.61917	24466.3
22500	3000	2027	 0.226863	3192.47
22500	3000	2028	 0.226863	3583.41
22500	6000	2027	 0.5	6611.93
22500	6000	2028	 0.40705	6141.11
22500	9000	2027	 0.680588	8647.14
22500	9000	2028	 0.680588	9597
22500	12000	2027	 0.991919	11787.1
22500	12000	2028	 0.991919	12990.7
22500	15000	2027	 1.30042	14497.8
22500	15000	2028	 1.30042	15877
22500	18000	2027	 1.63451	17051.8
22500	18000	2028	 1.63451	18557.1
22500	21000	2027	 2.15582	20386.1
22500	21000	2028	 2.15582	21994.8
22500	24000	2027	 2.76664	23500.7
22500	24000	2028	 2.64122	24558.3
27000	3000	2027	 0.184769	3282.48
27000	3000	2028	 0.184769	3902.65
27000	6000	2027	 0.369538	6224.38
27000	6000	2028	 0.302484	6136.86
27000	9000	2027	 0.5	8118.24
27000	9000	2028	 0.5	9499.53
27000	12000	2027	 0.739076	11240.5
27000	12000	2028	 0.681717	12218.1
27000	15000	2027	 1.03569	14572.5
27000	15000	2028	 0.932514	15469
27000	18000	2027	 1.30328	17146.7
27000	18000	2028	 1.20875	18489.1
27000	21000	2027	 1.71088	20428.7
27000	21000	2028	 1.57472	21768.3
27000	24000	2027	 2.19242	23525.4
27000	24000	2028	 2.02927	24966.9
36000	3000	2027	 0.131154	3505.83
36000	3000	2028	 0.0813027	3093.18
36000	6000	2027	 0.262308	6623.55
36000	6000	2028	 0.175826	6315.01
36000	9000	2027	 0.393462	9401.42
36000	9000	2028	 0.28425	9577.03
36000	12000	2027	 0.5	11436.9
36000	12000	2028	 0.401836	12663.7
36000	15000	2027	 0.655771	14100.2
36000	15000	2028	 0.545173	15891.3
36000	18000	2027	 0.880361	17382.3
36000	18000	2028	 0.679572	18472.1
36000	21000	2027	 1.14242	20535.2
36000	21000	2028	 0.885625	21754.9
36000	24000	2027	 1.40516	23120.1
36000	24000	2028	 1.13837	24921.8
45000	3000	2027	 0.0983179	3817.51
45000	3000	2028	 0.0447584	3189
45000	6000	2027	 0.164423	6121.9
45000	6000	2028	 0.096269	6467.45
45000	9000	2027	 0.261896	9181.47
45000	9000	2028	 0.143701	9159.85
45000	12000	2027	 0.393271	12752.5
45000	12000	2028	 0.208993	12422.6
45000	15000	2027	 0.5	15256.6
45000	15000	2028	 0.286187	15718
45000	18000	2027	 0.589907	17130.4
45000	18000	2028	 0.37683	18950.5
45000	21000	2027	 0.762068	20213
45000	21000	2028	 0.466708	21609.6
45000	24000	2027	 0.976914	23311.7
45000	24000	2028	 0.586487	24493.4
